execution	target_folder	target_label	reference_id	reference_origin	target_qc_flags	biological_role	reads_with_reported_alignment	reads_unique_best_AS	reads_tied_best_AS_including_target	median_AS	median_identity	median_query_coverage	reference_length_bp	reference_header_original	reference_md5
Lib1barcode42	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode42	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	15	15	0	310	0.94482759	0.89451477	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode42	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode42	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	611	611	0	331	0.91150442	0.97787611	227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode43	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode43	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode43	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode43	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode43	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	782	782	0	314.0	0.93838863	0.89867841	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode43	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode43	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	1	1	0	316	0.87606838	0.97854077	227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode44	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode44	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode44	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode44	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode44	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	157	157	0	324	0.94871795	0.87111111	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode44	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode44	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode45	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode45	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode45	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode45	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode45	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	470	470	0	332.0	0.95215311	0.88444444	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode45	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode45	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode46	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode46	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode46	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode46	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode46	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	620	620	0	328.0	0.95012438	0.88787142	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode46	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode46	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode47	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode47	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode47	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode47	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode47	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	409	409	0	316	0.94258373	0.88646288	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode47	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode47	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode48	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode48	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode48	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode48	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode48	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	229	229	0	326	0.94258373	0.88938053	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode48	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode48	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode49	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode49	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode49	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode49	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode49	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	77	77	0	320	0.94623656	0.89041096	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode49	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode49	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode50	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode50	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode50	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode50	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode50	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	10	10	0	313.0	0.94749374	0.91407084	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode50	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode50	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	576	576	0	341.0	0.91684862	0.97777778	227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode51	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode51	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode51	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode51	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode51	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	741	741	0	310	0.93838863	0.8974359	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode51	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode51	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	1	1	0	421	0.95982143	0.85823755	227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode52	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
Lib1barcode52	montagem_LIB_3_HSV7	HSV7	REF_20b40d8dda57	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				174	U63466.1 Human herpesvirus 7 DNA polymerase gene, partial cds	20b40d8dda57c3d70d0b07dae36c3446
Lib1barcode52	montagens_Alouatta_macconnelli_cytomegalovirus	Alouatta_macconnelli_CMV	REF_bf281488920c	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				1724	KU963227.1 Alouatta macconnelli cytomegalovirus isolate Ase046 DNA polymerase (pol) gene, partial cds	bf281488920cf6856839aa1af6f20ca0
Lib1barcode52	montagens_Alouatta_palliata_cytomegalovirus	Alouatta_palliata_CMV	REF_c580909e6622	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				988	KU963232.1 Alouatta palliata cytomegalovirus isolate AlPal1 DNA polymerase (pol) gene, partial cds	c580909e662282b9e932caef35bed57a
Lib1barcode52	montagens_CALHV3	CALHV3	REF_f1a9ba29665a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	622	622	0	320.0	0.94946657	0.87074074	425	PQ362650.1 Callitrichine gammaherpesvirus 3 isolate CalHV-3_01_BR DNA polymerase gene, partial cds	f1a9ba29665add38bfee0415562a2b60
Lib1barcode52	montagens_Cebus_albifrons_lymphocryptovirus_1	Cebus_albifrons_LCV1	REF_74f43c8abe03	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				469	AY139027.1 Cebus albifrons lymphocryptovirus 1 DNA polymerase (DPOL) gene, partial cds	74f43c8abe032da274ec48f9515662fc
Lib1barcode52	montagens_consenso_H1	H1_internal_consensus	REF_378d31d8781e	INTERNAL_CONSENSUS	INTERNAL_REFERENCE	REFERENCE_COMPETITION_RESULT	0	0	0				227	Consensus_barcode13.fastq.gz.consenso_threshold_0.7_quality_15	378d31d8781eb4b56fe927a6f3394906
Lib1barcode53	montagem_LIB_3_HSV6	HSV6	REF_930e089dc61a	GENBANK_ACCESSION	OK	REFERENCE_COMPETITION_RESULT	0	0	0				883	AY359407.1 Pan troglodytes herpesvirus 6 DNA polymerase gene, partial cds	930e089dc61ab16dabbbd33825b81fbf
